company,sector,stage,year,month,date,mrr_usd,arr_usd,new_mrr_usd,expansion_mrr_usd,churned_mrr_usd,net_new_mrr_usd,total_customers,acv_usd,gross_margin_pct,gross_profit_usd,sm_expense_pct,rd_expense_pct,ga_expense_pct,total_opex_usd,ebitda_usd,ebitda_margin_pct,cac_usd,ltv_usd,ltv_cac_ratio,payback_months,nrr_pct,logo_churn_pct,dso_days,dpo_days,cash_burn_usd,runway_months,rule_of_40_score,mom_growth_pct,yoy_growth_pct,sector_avg_growth_pct,growth_vs_sector_pp
NexaFlow,CRM,Series C,2022,8,2022-08-01,80086.09,961033.08,10458.32,4079.63,612.59,13925.36,0,961.03,78.58,62931.66,34.84,20.7,11.8,53928.87,9002.79,11.24,16.43,5397.17,328.49,0.3,104.33,0.765,61,22,0.0,99,25.3,1.55,18.61,18.0,0.61
NexaFlow,CRM,Series C,2022,9,2022-09-01,29362.05,352344.54,5084.79,2427.88,207.64,7305.03,0,352.34,69.54,20419.55,45.82,17.02,9.97,21378.83,-959.29,-3.27,25.47,3483.54,136.78,1.2,107.56,0.707,44,54,954.89,36,10.8,1.01,12.16,18.0,-5.84
NexaFlow,CRM,Series C,2022,10,2022-10-01,24803.73,297644.72,4236.87,1688.07,149.22,5775.72,0,297.64,81.38,20185.96,36.01,16.7,14.86,16758.54,3427.43,13.82,27.61,2633.55,95.38,1.4,106.2,0.602,55,22,0.0,99,27.9,0.89,10.72,18.0,-7.28
NexaFlow,CRM,Series C,2022,11,2022-11-01,160458.28,1925499.35,23924.64,5160.61,1280.63,27804.62,0,1925.5,74.26,119163.78,38.31,15.54,10.55,103353.13,15810.65,9.85,9.42,10899.25,1157.18,0.1,102.42,0.798,30,44,0.0,99,23.9,1.63,19.55,18.0,1.55
NexaFlow,CRM,Series C,2022,12,2022-12-01,161906.06,1942872.73,16353.75,5855.76,1617.54,20591.97,0,1942.87,69.62,112722.42,37.75,23.07,9.08,113178.05,-455.63,-0.28,6.4,11864.68,1854.76,0.1,102.62,0.999,39,48,369.02,31,13.8,1.56,18.71,18.0,0.71
NexaFlow,CRM,Series C,2023,1,2023-01-01,223049.79,2676597.48,27027.24,16528.76,4103.7,39452.29,0,2676.6,79.77,177929.56,44.83,19.97,8.27,162993.17,14936.39,6.7,12.06,31883.71,2644.53,0.1,105.57,1.84,57,44,0.0,99,21.5,1.62,19.42,18.0,1.42
NexaFlow,CRM,Series C,2023,2,2023-02-01,54697.29,656367.49,6045.09,2387.85,1143.55,7289.39,0,656.37,79.3,43372.86,35.88,26.24,14.77,42052.97,1319.89,2.41,14.44,4791.78,331.93,0.3,102.27,2.091,53,43,0.0,99,17.2,1.03,12.37,18.0,-5.63
NexaFlow,CRM,Series C,2023,3,2023-03-01,149885.67,1798628.09,26535.77,13152.78,1284.72,38403.82,0,1798.63,80.48,120631.53,38.43,24.47,10.2,109560.97,11070.57,7.39,15.07,14819.29,983.06,0.1,107.92,0.857,52,34,0.0,99,22.1,1.34,16.14,18.0,-1.86
NexaFlow,CRM,Series C,2023,4,2023-04-01,108837.35,1306048.2,11479.32,3276.16,2087.03,12668.45,0,1306.05,74.46,81042.11,45.27,24.65,12.69,89906.26,-8864.15,-8.14,12.1,19095.15,1578.6,0.1,101.09,1.918,49,42,9443.46,11,6.6,1.18,14.21,18.0,-3.79
NexaFlow,CRM,Series C,2023,5,2023-05-01,126670.31,1520043.73,14051.34,6858.44,1667.98,19241.81,0,1520.04,80.22,101612.35,38.09,27.22,12.74,98874.62,2737.73,2.16,7.18,11355.32,1581.74,0.1,104.1,1.317,47,47,0.0,99,16.9,1.19,14.28,18.0,-3.72
NexaFlow,CRM,Series C,2023,6,2023-06-01,84987.9,1019854.84,11455.84,4012.69,425.63,15042.9,0,1019.85,73.88,62789.24,43.71,21.04,11.1,64465.79,-1676.55,-1.97,19.71,8732.95,443.01,0.3,104.22,0.501,38,27,1531.55,29,12.8,1.02,12.27,18.0,-5.73
NexaFlow,CRM,Series C,2023,7,2023-07-01,114772.86,1377274.26,18575.11,8076.31,2298.07,24353.35,0,1377.27,79.21,90914.08,28.59,18.18,11.33,66677.42,24236.66,21.12,10.94,20036.17,1830.81,0.1,105.03,2.002,54,34,0.0,99,35.9,1.08,12.94,18.0,-5.06
NexaFlow,CRM,Series C,2023,8,2023-08-01,122784.79,1473417.49,18642.98,6627.82,1556.86,23713.94,0,1473.42,72.37,88863.39,49.42,26.19,14.2,110270.34,-21406.96,-17.43,10.93,17080.94,1563.36,0.1,104.13,1.268,61,51,17555.57,15,-2.7,1.06,12.75,18.0,-5.25
NexaFlow,CRM,Series C,2023,9,2023-09-01,362314.25,4347770.98,33816.21,22415.63,5178.51,51053.32,0,4347.77,77.56,281003.06,46.13,20.75,13.71,291969.13,-10966.06,-3.03,6.09,39095.53,6415.92,0.0,104.76,1.429,63,50,12708.39,31,11.7,1.34,16.09,18.0,-1.91
NexaFlow,CRM,Series C,2023,10,2023-10-01,227331.64,2727979.72,37771.04,17074.11,3182.96,51662.19,0,2727.98,78.12,177586.12,46.66,21.3,9.67,176497.28,1088.83,0.48,17.19,18732.86,1089.71,0.1,106.11,1.4,43,39,0.0,99,15.2,1.17,14.0,18.0,-4.0
NexaFlow,CRM,Series C,2023,11,2023-11-01,119215.66,1430587.87,10497.86,6316.3,955.71,15858.46,0,1430.59,79.0,94185.92,37.96,19.3,11.26,81686.28,12499.64,10.48,17.81,8944.14,502.27,0.2,104.5,0.802,52,23,0.0,99,25.2,0.96,11.5,18.0,-6.5
NexaFlow,CRM,Series C,2023,12,2023-12-01,1987430.84,23849170.04,329264.03,104981.78,40368.48,393877.34,4,5962.29,77.08,1531819.81,46.08,26.09,14.67,1726128.17,-194308.37,-9.78,17.62,39827.77,2260.82,0.0,103.25,2.031,62,36,193393.53,16,5.0,1.68,20.2,18.0,2.2
NexaFlow,CRM,Series C,2024,1,2024-01-01,583684.02,7004208.25,66314.07,31670.11,10846.51,87137.67,0,7004.21,75.46,440427.75,31.06,23.09,8.19,363875.46,76552.29,13.12,12.5,54837.32,4388.38,0.0,103.57,1.858,29,27,0.0,99,29.5,1.31,15.71,18.0,-2.29
NexaFlow,CRM,Series C,2024,2,2024-02-01,923117.75,11077412.99,133182.78,53265.65,7120.92,179327.51,1,11077.41,76.69,707962.5,33.08,19.25,13.33,606095.58,101866.93,11.04,16.2,73730.87,4551.23,0.0,105.0,0.771,54,38,0.0,99,27.4,1.39,16.67,18.0,-1.33
NexaFlow,CRM,Series C,2024,3,2024-03-01,1734455.01,20813460.08,268671.29,151097.36,10479.08,409289.57,2,10406.73,81.04,1405590.94,50.97,15.52,8.22,1295905.35,109685.59,6.32,21.34,64755.74,3034.03,0.0,108.11,0.604,37,37,0.0,99,22.7,1.51,18.1,18.0,0.1
NexaFlow,CRM,Series C,2024,4,2024-04-01,413382.61,4960591.32,38288.36,26389.59,7601.77,57076.19,0,4960.59,72.21,298493.21,46.41,17.18,12.25,313499.23,-15006.02,-3.63,6.85,67267.78,9815.95,0.0,104.54,1.839,38,41,12653.67,8,12.7,1.12,13.47,18.0,-4.53
NexaFlow,CRM,Series C,2024,5,2024-05-01,4533598.37,54403180.4,774350.46,392102.93,56697.81,1109755.57,5,10880.64,73.71,3341743.91,47.93,18.16,12.88,3580233.05,-238489.14,-5.26,21.52,76564.3,3557.61,0.0,107.4,1.251,35,24,223913.04,21,11.1,1.66,19.92,18.0,1.92
NexaFlow,CRM,Series C,2024,6,2024-06-01,832300.8,9987609.58,121642.54,57306.07,5309.36,173639.25,1,9987.61,76.12,633540.52,39.76,20.64,10.54,590400.57,43139.95,5.18,9.55,86721.55,9085.22,0.0,106.25,0.638,37,49,0.0,99,21.6,1.22,14.68,18.0,-3.32
NexaFlow,CRM,Series C,2024,7,2024-07-01,3266544.49,39198533.86,473798.37,278234.65,56570.82,695462.2,1,39198.53,75.49,2465972.16,47.82,22.7,10.26,2638581.77,-172609.61,-5.28,20.05,227693.76,11358.11,0.0,106.79,1.732,45,50,154924.96,22,11.1,1.5,18.01,18.0,0.01
NexaFlow,CRM,Series C,2024,8,2024-08-01,7042399.86,84508798.37,964702.9,353414.37,129325.01,1188792.25,5,16901.76,77.45,5454324.73,39.7,19.61,9.81,4867875.09,586449.64,8.33,17.88,128492.77,7187.38,0.0,103.18,1.836,45,22,0.0,99,24.7,1.64,19.64,18.0,1.64
NexaFlow,CRM,Series C,2024,9,2024-09-01,1140051.3,13680615.63,118719.93,72177.3,14967.23,175930.0,1,13680.62,75.33,858854.19,45.08,20.83,8.12,843993.54,14860.65,1.3,13.27,126055.94,9495.89,0.0,105.02,1.313,43,41,0.0,99,17.7,1.2,14.44,18.0,-3.56
NexaFlow,CRM,Series C,2024,10,2024-10-01,2611102.72,31333232.66,382255.0,165043.57,32326.52,514972.05,2,15666.62,68.05,1776781.23,41.21,19.57,11.18,1878925.42,-102144.19,-3.91,18.3,178710.93,9765.23,0.0,105.08,1.238,40,42,86600.08,25,12.5,1.35,16.18,18.0,-1.82
NexaFlow,CRM,Series C,2024,11,2024-11-01,18665487.23,223985846.8,1850759.54,869624.63,369055.75,2351328.42,12,18665.49,71.36,13319148.42,42.32,27.75,13.83,15659973.19,-2340824.76,-12.54,12.6,180682.02,14340.53,0.0,102.68,1.977,47,22,2535598.69,12,3.8,1.73,20.76,18.0,2.76
NexaFlow,CRM,Series C,2024,12,2024-12-01,2148768.51,25785222.1,230844.63,135805.47,52614.53,314035.58,1,25785.22,80.23,1724001.82,48.84,21.38,14.11,1812132.33,-88130.51,-4.1,9.47,221660.33,23402.67,0.0,103.87,2.449,56,43,77003.63,9,12.3,1.25,14.98,18.0,-3.02
NexaFlow,CRM,Series C,2025,1,2025-01-01,5805170.65,69662047.8,530643.18,345435.48,36612.45,839466.22,4,17415.51,72.39,4202344.79,31.64,25.54,14.64,4169864.22,32480.57,0.56,17.47,193973.56,11101.33,0.0,105.32,0.631,63,48,0.0,99,17.7,1.42,17.01,18.0,-0.99
NexaFlow,CRM,Series C,2025,2,2025-02-01,84818396.43,1017820757.12,11928160.8,3693097.16,1765479.37,13855778.6,63,16155.89,75.69,64201417.04,38.63,26.18,14.93,67632229.65,-3430812.6,-4.04,17.61,120097.32,6818.14,0.0,102.27,2.081,34,35,3603060.02,16,13.1,1.92,23.07,18.0,5.07
NexaFlow,CRM,Series C,2025,3,2025-03-01,5497063.04,65964756.49,535311.45,165794.41,35738.04,665367.81,4,16491.19,73.69,4050601.23,34.99,18.01,12.95,3625208.89,425392.34,7.74,7.52,144048.28,19161.81,0.0,102.37,0.65,42,38,0.0,99,24.8,1.35,16.16,18.0,-1.84
NexaFlow,CRM,Series C,2025,4,2025-04-01,4994693.63,59936323.54,793071.45,347985.21,87412.93,1053643.73,2,29968.16,76.05,3798367.33,41.07,23.42,14.36,3938197.48,-139830.15,-2.8,10.95,437050.02,39910.06,0.0,105.22,1.75,38,41,145146.16,34,14.3,1.3,15.62,18.0,-2.38
NexaFlow,CRM,Series C,2025,5,2025-05-01,4067102.71,48805232.46,375944.13,292766.41,76354.0,592356.54,1,48805.23,74.99,3050058.17,39.85,16.05,8.28,2610097.93,439960.25,10.82,9.66,494587.86,51189.65,0.0,105.32,1.877,44,23,0.0,99,27.9,1.24,14.85,18.0,-3.15
NexaFlow,CRM,Series C,2025,6,2025-06-01,8197447.26,98369367.17,730660.51,657087.02,198691.55,1189055.98,5,19673.87,68.69,5630743.9,51.99,23.74,9.89,7018324.46,-1387580.56,-16.93,19.09,130504.67,6836.99,0.0,105.59,2.424,58,55,1471673.21,16,0.2,1.34,16.06,18.0,-1.94
NexaFlow,CRM,Series C,2025,7,2025-07-01,33767295.89,405207550.66,4844880.02,1197879.44,500921.49,5541837.96,32,12662.74,77.33,26113493.39,44.08,26.15,10.31,27196977.05,-1083483.66,-3.21,11.18,133875.18,11978.34,0.0,102.06,1.483,53,24,1063905.51,18,13.9,1.56,18.76,18.0,0.76
NexaFlow,CRM,Series C,2025,8,2025-08-01,100124027.81,1201488333.69,10537041.18,7644757.44,732750.89,17449047.73,51,23558.59,70.45,70538398.01,28.03,26.3,11.23,65644553.98,4893844.03,4.89,21.72,192767.11,8873.12,0.0,106.9,0.732,59,50,0.0,99,22.0,1.73,20.72,18.0,2.72
NexaFlow,CRM,Series C,2025,9,2025-09-01,22698190.47,272378285.58,3062484.43,1277612.27,534620.81,3805475.89,13,20952.18,80.3,18226654.85,51.36,22.92,9.68,19054208.78,-827553.93,-3.65,21.95,166154.34,7569.19,0.0,103.27,2.355,63,48,692897.4,34,13.5,1.44,17.23,18.0,-0.77
NexaFlow,CRM,Series C,2025,10,2025-10-01,9107439.21,109289270.53,1560040.47,337412.13,129589.37,1767863.23,4,27322.32,75.02,6832650.71,45.2,21.62,9.91,6987936.86,-155286.15,-1.71,11.73,153816.45,13111.05,0.0,102.28,1.423,43,51,158470.45,20,15.4,1.26,15.08,18.0,-2.92
NexaFlow,CRM,Series C,2025,11,2025-11-01,61367642.26,736411707.13,9489232.78,2098074.07,474382.12,11112924.73,34,21659.17,70.04,42980808.4,36.16,25.24,9.87,43735209.46,-754401.06,-1.23,36.83,147214.98,3997.41,0.0,102.65,0.773,65,53,864622.25,22,15.9,1.55,18.58,18.0,0.58
NexaFlow,CRM,Series C,2025,12,2025-12-01,230336606.13,2764039273.54,30832410.73,14537705.27,2741576.58,42628539.42,167,16551.13,75.63,174192462.31,35.72,17.45,12.88,152154894.41,22037567.9,9.57,11.83,188022.32,15892.28,0.0,105.12,1.19,54,24,0.0,99,26.7,1.74,20.88,18.0,2.88
DataPulse,Analytics,Public,2021,1,2021-01-01,10049.13,120589.58,1721.85,897.44,126.87,2492.42,0,120.59,72.87,7322.98,31.65,27.54,8.88,6841.14,481.83,4.79,10.55,1207.84,114.43,1.4,107.67,1.262,34,50,0.0,99,26.8,1.72,20.59,22.0,-1.41
DataPulse,Analytics,Public,2021,2,2021-02-01,13039.31,156471.76,1173.16,403.19,302.63,1273.72,0,156.47,69.81,9102.35,51.28,15.97,13.47,10525.65,-1423.3,-10.92,12.03,1160.85,96.5,1.3,100.77,2.321,53,27,1623.57,35,11.1,2.09,25.09,22.0,3.09
DataPulse,Analytics,Public,2021,3,2021-03-01,14509.89,174118.73,2545.24,1207.9,254.45,3498.69,0,174.12,74.43,10799.1,42.82,18.05,12.79,10688.25,110.85,0.76,22.61,1994.52,88.22,2.1,106.57,1.754,33,49,0.0,99,22.8,1.69,20.3,22.0,-1.7
DataPulse,Analytics,Public,2021,4,2021-04-01,16546.25,198554.96,2942.48,1195.19,334.36,3803.32,0,198.55,79.67,13182.54,35.19,15.38,10.27,10065.76,3116.78,18.84,35.31,1927.43,54.59,2.7,105.2,2.021,55,31,0.0,99,40.8,1.56,18.71,22.0,-3.29
DataPulse,Analytics,Public,2021,5,2021-05-01,22626.79,271521.5,3352.84,916.48,194.62,4074.7,0,271.52,76.64,17342.16,44.4,21.47,12.08,17636.91,-294.74,-1.3,20.96,1988.46,94.86,1.2,103.19,0.86,57,38,314.41,36,20.7,1.84,22.11,22.0,0.11
DataPulse,Analytics,Public,2021,6,2021-06-01,31926.55,383118.54,5123.04,2255.82,735.08,6643.78,0,383.12,75.82,24205.36,36.29,22.64,12.47,22797.01,1408.35,4.41,16.94,4256.32,251.21,0.7,104.76,2.302,47,34,0.0,99,26.4,2.09,25.09,22.0,3.09
DataPulse,Analytics,Public,2021,7,2021-07-01,46600.72,559208.68,4225.07,2401.69,588.44,6038.32,0,559.21,72.21,33650.43,28.53,25.79,10.77,30331.33,3319.1,7.12,21.24,3413.8,160.7,0.6,103.89,1.263,31,53,0.0,99,29.1,2.32,27.88,22.0,5.88
DataPulse,Analytics,Public,2021,8,2021-08-01,40835.55,490026.65,6667.79,3125.74,941.61,8851.91,0,490.03,70.77,28900.53,33.26,17.47,9.75,24698.25,4202.28,10.29,12.0,3221.81,268.57,0.4,105.35,2.306,36,28,0.0,99,32.3,1.83,21.98,22.0,-0.02
DataPulse,Analytics,Public,2021,9,2021-09-01,64604.18,775250.19,7164.17,4184.7,892.6,10456.27,0,775.25,80.74,52160.21,35.08,24.72,9.23,44595.87,7564.34,11.71,19.06,6215.48,326.13,0.4,105.1,1.382,51,55,0.0,99,33.7,2.13,25.55,22.0,3.55
DataPulse,Analytics,Public,2021,10,2021-10-01,49624.48,595493.79,6460.09,1978.66,518.6,7920.15,0,595.49,68.78,34132.4,51.22,18.84,14.09,41757.43,-7625.03,-15.37,9.15,5124.74,559.78,0.3,102.94,1.045,32,31,8400.2,15,6.6,1.63,19.53,22.0,-2.47
DataPulse,Analytics,Public,2021,11,2021-11-01,97634.58,1171614.94,17378.39,7642.37,2376.95,22643.81,0,1171.61,70.93,69252.65,28.33,21.98,11.18,60038.42,9214.23,9.44,14.15,8328.17,588.47,0.2,105.39,2.435,65,46,0.0,99,31.4,2.09,25.07,22.0,3.07
DataPulse,Analytics,Public,2021,12,2021-12-01,62561.28,750735.38,10150.05,2283.53,1489.32,10944.26,0,750.74,81.65,51081.07,49.22,22.3,14.41,53756.86,-2675.79,-4.28,23.4,11107.85,474.72,0.5,101.27,2.381,57,41,2835.52,11,17.7,1.52,18.29,22.0,-3.71
DataPulse,Analytics,Public,2022,1,2022-01-01,108108.16,1297297.88,11939.08,3873.68,1605.68,14207.09,0,1297.3,80.1,86595.39,38.89,23.72,13.2,81952.2,4643.19,4.29,6.91,11762.05,1703.16,0.1,102.1,1.485,37,48,0.0,99,21.5,1.82,21.79,22.0,-0.21
DataPulse,Analytics,Public,2022,2,2022-02-01,146817.08,1761804.9,21360.74,9827.81,3182.09,28006.45,0,1761.8,78.08,114640.11,44.57,17.82,11.11,107916.59,6723.52,4.58,20.44,17018.6,832.62,0.2,104.53,2.167,51,44,0.0,99,21.7,1.9,22.74,22.0,0.74
DataPulse,Analytics,Public,2022,3,2022-03-01,119064.24,1428770.94,21053.02,9459.83,2855.19,27657.66,0,1428.77,79.03,94097.09,43.35,27.62,8.35,94449.01,-351.92,-0.3,21.21,7997.22,377.0,0.2,105.55,2.398,64,35,291.2,32,16.9,1.62,19.4,22.0,-2.6
DataPulse,Analytics,Public,2022,4,2022-04-01,118624.56,1423494.78,16064.23,9345.62,1984.31,23425.54,0,1423.49,71.16,84411.86,46.93,22.75,9.94,94444.29,-10032.43,-8.46,8.22,7974.61,969.7,0.1,106.21,1.673,62,38,11230.36,11,8.7,1.5,18.06,22.0,-3.94
DataPulse,Analytics,Public,2022,5,2022-05-01,116714.1,1400569.25,9510.57,5167.62,2427.62,12250.57,0,1400.57,79.56,92858.39,29.26,24.64,11.68,76544.04,16314.35,13.98,6.04,11955.4,1978.85,0.1,102.35,2.08,51,54,0.0,99,31.1,1.4,16.8,22.0,-5.2
DataPulse,Analytics,Public,2022,6,2022-06-01,131813.88,1581766.52,18370.45,5706.62,1850.68,22226.39,0,1581.77,71.82,94666.88,49.81,23.57,10.11,110047.71,-15380.83,-11.67,11.42,24816.67,2173.92,0.1,102.93,1.404,58,47,14927.24,11,5.5,1.38,16.58,22.0,-5.42
DataPulse,Analytics,Public,2022,7,2022-07-01,56450.21,677402.51,4930.87,3753.82,373.46,8311.23,0,677.4,78.15,44115.71,43.19,22.13,10.28,42675.67,1440.05,2.55,5.26,5477.64,1040.95,0.1,105.99,0.662,57,54,0.0,99,19.7,0.88,10.59,22.0,-11.41
DataPulse,Analytics,Public,2022,8,2022-08-01,211913.47,2542961.67,29782.89,15280.39,1479.91,43583.37,0,2542.96,72.89,154457.73,46.46,24.37,9.51,170232.61,-15774.88,-7.44,14.32,29089.27,2030.68,0.1,106.51,0.698,49,51,15135.87,31,9.7,1.46,17.56,22.0,-4.44
DataPulse,Analytics,Public,2022,9,2022-09-01,368665.07,4423980.86,54013.41,14436.31,4603.16,63846.56,0,4423.98,81.06,298840.4,47.96,16.21,8.68,268574.23,30266.17,8.21,10.93,28104.41,2570.76,0.0,102.67,1.249,63,25,0.0,99,25.4,1.65,19.78,22.0,-2.22
DataPulse,Analytics,Public,2022,10,2022-10-01,378493.87,4541926.41,52476.85,18840.95,6143.61,65174.2,0,4541.93,77.05,291628.11,43.97,24.75,14.08,313387.29,-21759.18,-5.75,10.52,25775.96,2450.3,0.0,103.35,1.623,47,44,18309.05,24,11.4,1.58,18.94,22.0,-3.06
DataPulse,Analytics,Public,2022,11,2022-11-01,388275.38,4659304.59,39768.91,31342.52,2781.75,68329.68,0,4659.3,71.32,276931.67,41.78,25.49,13.92,315234.43,-38302.76,-9.86,6.27,29449.9,4700.65,0.0,107.36,0.716,63,23,39972.68,29,7.3,1.51,18.18,22.0,-3.82
DataPulse,Analytics,Public,2022,12,2022-12-01,879874.07,10558488.87,143372.03,35920.83,9105.78,170187.08,0,10558.49,77.67,683435.27,36.16,15.08,14.09,574770.75,108664.52,12.35,14.49,97678.66,6741.27,0.0,103.05,1.035,37,23,0.0,99,29.5,1.79,21.43,22.0,-0.57
DataPulse,Analytics,Public,2023,1,2023-01-01,1005439.85,12065278.22,118259.27,39659.13,14149.47,143768.93,1,12065.28,77.46,778800.03,50.59,22.75,14.18,880042.22,-101242.19,-10.07,19.25,80150.76,4164.57,0.0,102.54,1.407,31,27,92013.07,29,8.0,1.76,21.13,22.0,-0.87
