quarter,state,specialty,hcp_segment,kol_flag,product,molecule,company,moa,route_admin,nrx_count,trx_count,refill_rate,market_share_pct,commercial_payer_pct,medicare_payer_pct,medicaid_payer_pct,cash_pay_pct,pa_required,step_edit_required,formulary_tier,payer_access_score_1_10,wac_monthly_usd,net_price_monthly_usd,gross_to_net_pct,efficacy_perception_1_10,safety_perception_1_10,convenience_perception_1_10,value_perception_1_10,hcp_nps,rep_accessible,digital_engager,samples_accepted,indication_t2dm,indication_obesity,indication_cv_risk
2025Q1,OH,Endocrinology,High Volume (Top Decile),False,Jardiance,empagliflozin,Boehringer/Lilly,SGLT2i,Oral daily,115,325,2.83,6.7,65.8,24.6,9.7,7.8,False,False,Tier 3 Non-Pref,8.1,624,469.0,24.9,7.4,7.1,8.5,7.1,-6,True,False,False,True,False,False
2024Q1,PA,Endocrinology,Mid Volume (Decile 2-5),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,29,86,2.97,15.9,70.1,30.2,0.0,4.7,True,True,Specialty,6.0,1349,993.0,26.4,7.3,8.5,8.5,6.8,3,False,True,False,True,True,False
2024Q3,AZ,Cardiology,Mid Volume (Decile 2-5),False,Victoza,liraglutide,Novo Nordisk,GLP-1 RA,SC daily,24,76,3.17,6.7,66.1,24.3,9.6,7.7,False,False,Specialty,8.5,686,470.0,31.5,6.3,6.8,6.9,6.8,35,True,False,True,True,False,False
2024Q2,OH,Endocrinology,Mid Volume (Decile 2-5),False,Rybelsus,semaglutide oral,Novo Nordisk,GLP-1 RA,Oral daily,14,73,5.21,4.1,69.7,40.1,0.0,10.4,True,False,Tier 3 Non-Pref,6.0,812,497.0,38.8,8.5,6.7,7.4,8.3,-7,False,False,True,True,False,False
2024Q4,VA,Endocrinology,Low Volume (Decile 6-10),False,Victoza,liraglutide,Novo Nordisk,GLP-1 RA,SC daily,41,125,3.05,3.9,67.6,22.1,10.3,9.4,True,True,Specialty,5.4,686,492.0,28.3,6.8,7.8,7.4,5.4,-19,True,False,False,True,False,False
2024Q2,NY,Primary Care,High Volume (Top Decile),False,Rybelsus,semaglutide oral,Novo Nordisk,GLP-1 RA,Oral daily,21,120,5.71,3.8,48.8,39.2,12.0,10.7,True,True,Specialty,6.4,812,571.0,29.6,5.1,6.3,6.7,6.9,-15,True,True,False,True,False,False
2024Q1,NC,Internal Medicine,Mid Volume (Decile 2-5),False,Victoza,liraglutide,Novo Nordisk,GLP-1 RA,SC daily,24,92,3.83,2.1,52.1,34.9,13.0,11.3,True,False,Tier 2 Preferred,6.3,686,512.0,25.3,7.2,6.4,5.7,6.3,-5,False,True,True,True,False,False
2024Q1,FL,Primary Care,Low Volume (Decile 6-10),False,Ozempic,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,102,506,4.96,21.8,58.7,39.8,1.5,7.0,True,False,Tier 3 Non-Pref,6.1,936,561.0,40.0,7.1,5.9,7.7,6.4,71,True,False,False,True,False,True
2024Q3,TN,Endocrinology,Low Volume (Decile 6-10),False,Victoza,liraglutide,Novo Nordisk,GLP-1 RA,SC daily,23,96,4.17,3.2,44.8,35.0,20.2,6.8,False,False,Tier 2 Preferred,7.3,686,456.0,33.5,8.3,7.2,7.6,7.7,63,False,False,True,True,False,False
2024Q4,FL,Primary Care,Low Volume (Decile 6-10),False,Rybelsus,semaglutide oral,Novo Nordisk,GLP-1 RA,Oral daily,21,118,5.62,3.6,70.8,27.3,1.9,5.2,False,True,Tier 3 Non-Pref,4.4,812,534.0,34.2,5.2,8.6,6.7,5.6,50,True,False,False,True,False,False
2024Q2,MA,Endocrinology,Mid Volume (Decile 2-5),True,Farxiga,dapagliflozin,AstraZeneca,SGLT2i,Oral daily,24,109,4.54,4.4,56.6,36.6,6.8,6.6,True,True,Tier 3 Non-Pref,6.4,587,467.0,20.5,6.7,8.8,7.2,5.0,51,True,True,False,True,False,False
2024Q1,NY,Nephrology,Non-Writer,False,Victoza,liraglutide,Novo Nordisk,GLP-1 RA,SC daily,33,117,3.55,2.8,59.2,36.6,4.2,11.2,False,False,Tier 3 Non-Pref,6.7,686,449.0,34.5,6.6,5.9,6.0,6.8,30,False,False,False,True,False,False
2024Q1,CA,Endocrinology,Mid Volume (Decile 2-5),True,Jardiance,empagliflozin,Boehringer/Lilly,SGLT2i,Oral daily,82,381,4.65,5.6,47.2,21.5,31.3,6.0,False,False,Specialty,8.4,624,479.0,23.2,7.2,8.5,7.1,5.9,-6,True,True,False,True,False,False
2024Q3,WA,Internal Medicine,Low Volume (Decile 6-10),False,Bydureon,exenatide ER,AstraZeneca,GLP-1 RA,SC weekly,11,52,4.73,2.5,60.2,31.8,7.9,8.1,True,False,Tier 2 Preferred,6.0,492,305.0,38.0,7.6,8.8,6.7,6.4,72,True,False,True,True,False,False
2024Q3,NJ,Endocrinology,Mid Volume (Decile 2-5),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,24,108,4.5,16.3,57.5,23.4,19.1,10.2,True,False,Specialty,9.0,1349,822.0,39.1,6.8,8.5,6.8,3.5,14,True,True,False,True,True,False
2024Q2,VA,Primary Care,Low Volume (Decile 6-10),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,55,241,4.38,16.4,55.9,39.4,4.7,3.1,True,False,Not Covered,8.0,1349,1090.0,19.2,7.0,8.9,7.1,6.7,81,False,False,True,True,True,False
2024Q3,WA,Nephrology,Mid Volume (Decile 2-5),False,Bydureon,exenatide ER,AstraZeneca,GLP-1 RA,SC weekly,8,23,2.88,4.9,54.9,25.2,19.9,6.2,True,False,Tier 3 Non-Pref,6.1,492,352.0,28.5,8.2,8.0,7.2,5.0,5,False,True,False,True,False,False
2024Q3,GA,Internal Medicine,High Volume (Top Decile),False,Zepbound,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,61,214,3.51,13.0,53.9,26.7,19.4,3.6,True,False,Specialty,8.1,1059,701.0,33.8,7.3,5.7,6.2,7.4,3,True,True,False,True,True,False
2024Q4,TX,Obesity Medicine,Non-Writer,False,Jardiance,empagliflozin,Boehringer/Lilly,SGLT2i,Oral daily,62,268,4.32,6.9,63.2,35.5,1.4,10.6,True,False,Specialty,7.9,624,374.0,40.1,6.3,8.2,6.1,8.0,0,True,False,False,True,False,False
2024Q3,FL,Primary Care,Low Volume (Decile 6-10),False,Zepbound,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,82,347,4.23,15.6,60.9,25.1,14.0,3.4,False,True,Not Covered,8.5,1059,854.0,19.4,8.4,7.1,6.2,8.5,34,True,False,True,True,True,False
2024Q1,FL,Primary Care,High Volume (Top Decile),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,5,21,4.2,15.7,71.7,36.5,0.0,11.3,True,True,Tier 3 Non-Pref,6.7,1349,876.0,35.1,6.5,5.8,6.2,5.9,35,False,True,True,True,True,False
2024Q4,AZ,Cardiology,Low Volume (Decile 6-10),False,Zepbound,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,22,91,4.14,12.5,44.4,19.0,36.6,7.0,True,False,Specialty,5.6,1059,662.0,37.5,7.5,6.3,6.4,6.9,36,True,True,False,True,True,False
2024Q3,PA,Obesity Medicine,Non-Writer,False,Mounjaro,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,79,356,4.51,20.1,58.9,26.6,14.5,9.9,True,True,Tier 2 Preferred,7.3,1023,774.0,24.4,6.6,7.3,6.1,6.2,29,False,True,False,True,False,True
2024Q4,TX,Primary Care,Non-Writer,False,Trulicity,dulaglutide,Eli Lilly,GLP-1 RA,SC weekly,7,20,2.86,8.1,65.2,34.2,0.6,3.5,True,False,Not Covered,5.7,743,462.0,37.8,8.4,5.7,6.9,4.1,-1,True,True,True,True,False,False
2025Q1,VA,Primary Care,Mid Volume (Decile 2-5),False,Farxiga,dapagliflozin,AstraZeneca,SGLT2i,Oral daily,54,211,3.91,3.3,66.5,25.2,8.3,8.6,False,False,Specialty,9.3,587,471.0,19.7,6.7,8.6,5.8,6.3,-9,True,False,True,True,False,False
2025Q1,OH,Internal Medicine,Low Volume (Decile 6-10),False,Zepbound,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,60,273,4.55,12.6,46.0,24.1,29.9,5.3,False,False,Tier 2 Preferred,8.4,1059,633.0,40.2,10.0,8.0,7.5,6.1,23,True,False,True,True,True,False
2025Q1,MI,Primary Care,Non-Writer,False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,75,293,3.91,15.6,55.4,24.5,20.1,8.8,True,True,Tier 2 Preferred,8.7,1349,799.0,40.8,7.1,5.3,8.4,5.9,82,True,True,True,True,True,False
2024Q3,NY,Internal Medicine,Mid Volume (Decile 2-5),False,Zepbound,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,19,112,5.89,13.7,61.3,37.5,1.2,3.3,False,True,Tier 2 Preferred,7.8,1059,670.0,36.8,6.3,6.3,8.2,4.8,-9,False,False,False,True,True,False
2024Q4,MA,Primary Care,Mid Volume (Decile 2-5),False,Trulicity,dulaglutide,Eli Lilly,GLP-1 RA,SC weekly,21,60,2.86,7.5,71.2,41.1,0.0,2.4,True,True,Tier 3 Non-Pref,4.1,743,516.0,30.5,7.7,7.0,6.8,6.8,43,True,False,True,True,False,False
2024Q3,TN,Endocrinology,Low Volume (Decile 6-10),False,Bydureon,exenatide ER,AstraZeneca,GLP-1 RA,SC weekly,13,44,3.38,2.7,69.7,18.1,12.2,11.4,False,True,Not Covered,7.9,492,296.0,39.8,6.9,6.1,6.8,7.4,3,False,False,True,True,False,False
2025Q1,TX,Obesity Medicine,Non-Writer,False,Mounjaro,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,65,296,4.55,19.7,70.9,34.1,0.0,7.8,False,False,Tier 3 Non-Pref,4.0,1023,627.0,38.7,7.7,6.4,5.9,5.9,25,True,False,False,True,False,True
2024Q4,PA,Primary Care,Non-Writer,False,Mounjaro,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,123,653,5.31,17.1,57.3,20.6,22.1,5.8,True,True,Not Covered,5.0,1023,752.0,26.5,7.1,6.1,7.6,4.9,-3,True,True,True,True,False,True
2024Q4,WI,Endocrinology,Mid Volume (Decile 2-5),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,63,245,3.89,15.8,68.3,31.0,0.7,2.7,True,False,Tier 2 Preferred,8.4,1349,855.0,36.6,6.7,7.8,8.5,5.0,24,False,True,False,True,True,False
2024Q3,OH,Endocrinology,Low Volume (Decile 6-10),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,81,460,5.68,15.2,49.7,19.4,30.9,5.2,True,False,Tier 3 Non-Pref,6.9,1349,1014.0,24.9,7.6,5.7,8.8,5.7,-16,False,False,False,True,True,False
2024Q3,AZ,Primary Care,High Volume (Top Decile),False,Jardiance,empagliflozin,Boehringer/Lilly,SGLT2i,Oral daily,93,387,4.16,8.5,50.1,29.2,20.7,7.8,True,True,Tier 3 Non-Pref,7.0,624,459.0,26.4,7.0,4.9,7.5,5.0,50,True,False,True,True,False,False
2024Q3,IL,Endocrinology,Low Volume (Decile 6-10),False,Trulicity,dulaglutide,Eli Lilly,GLP-1 RA,SC weekly,51,285,5.59,7.8,64.9,35.6,0.0,5.2,True,False,Not Covered,8.4,743,433.0,41.8,7.6,6.8,6.5,3.0,-4,False,True,False,True,False,False
2024Q2,NY,Cardiology,Low Volume (Decile 6-10),False,Ozempic,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,86,258,3.0,20.5,45.4,18.1,36.6,10.3,False,True,Specialty,8.3,936,763.0,18.5,6.9,10.0,7.7,4.2,57,True,True,True,True,False,True
2024Q3,MO,Primary Care,Non-Writer,False,Bydureon,exenatide ER,AstraZeneca,GLP-1 RA,SC weekly,4,13,3.25,2.4,52.6,30.2,17.2,7.4,True,True,Not Covered,4.7,492,330.0,33.0,5.9,7.0,7.8,7.4,31,True,False,True,True,False,False
2024Q4,GA,Internal Medicine,Non-Writer,False,Trulicity,dulaglutide,Eli Lilly,GLP-1 RA,SC weekly,18,89,4.94,7.6,58.7,33.3,8.0,3.6,False,False,Tier 3 Non-Pref,3.6,743,551.0,25.9,8.4,5.8,7.3,4.9,9,False,False,False,True,False,False
2024Q3,MI,Internal Medicine,Low Volume (Decile 6-10),False,Mounjaro,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,67,281,4.19,19.6,54.6,28.1,17.3,6.6,True,True,Not Covered,5.8,1023,668.0,34.7,6.7,9.2,7.3,3.3,46,True,True,True,True,False,True
2024Q2,CA,Cardiology,Mid Volume (Decile 2-5),False,Jardiance,empagliflozin,Boehringer/Lilly,SGLT2i,Oral daily,46,219,4.76,9.5,52.0,21.8,26.3,2.9,True,False,Specialty,7.2,624,414.0,33.6,6.1,6.3,5.5,6.1,49,True,True,True,True,False,False
2024Q2,GA,Cardiology,Mid Volume (Decile 2-5),False,Zepbound,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,1,2,2.0,10.9,66.6,18.9,14.6,2.2,False,True,Specialty,4.3,1059,791.0,25.3,8.8,8.5,7.9,4.8,37,True,False,False,True,True,False
2024Q2,AZ,Primary Care,Mid Volume (Decile 2-5),False,Rybelsus,semaglutide oral,Novo Nordisk,GLP-1 RA,Oral daily,26,137,5.27,2.8,50.8,39.7,9.6,9.0,False,True,Tier 2 Preferred,6.1,812,521.0,35.9,6.4,7.8,7.4,5.1,75,True,False,True,True,False,False
2025Q1,WA,Internal Medicine,Mid Volume (Decile 2-5),False,Ozempic,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,72,342,4.75,21.4,40.5,19.4,40.1,3.1,True,False,Specialty,7.3,936,553.0,40.9,7.6,6.4,7.5,4.1,41,True,True,False,True,False,True
2025Q1,OH,Primary Care,Mid Volume (Decile 2-5),False,Victoza,liraglutide,Novo Nordisk,GLP-1 RA,SC daily,44,160,3.64,6.1,66.5,37.0,0.0,11.7,True,True,Tier 2 Preferred,5.2,686,519.0,24.4,7.3,6.7,6.4,7.3,46,True,True,False,True,False,False
2024Q1,MA,Endocrinology,Mid Volume (Decile 2-5),False,Ozempic,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,92,453,4.92,23.0,50.2,34.8,15.0,9.0,True,False,Tier 3 Non-Pref,4.4,936,546.0,41.6,7.0,8.5,5.9,6.1,63,False,False,True,True,False,True
2024Q2,PA,Endocrinology,Low Volume (Decile 6-10),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,81,287,3.54,15.5,51.3,34.9,13.8,9.1,True,False,Tier 3 Non-Pref,7.3,1349,927.0,31.3,5.9,6.8,5.9,5.5,2,True,False,False,True,True,False
2024Q2,AZ,Primary Care,Low Volume (Decile 6-10),False,Farxiga,dapagliflozin,AstraZeneca,SGLT2i,Oral daily,16,68,4.25,3.9,69.7,34.7,0.0,11.6,True,True,Tier 3 Non-Pref,4.9,587,439.0,25.2,5.7,7.0,6.7,5.3,-18,True,True,False,True,False,False
2024Q3,IL,Primary Care,Non-Writer,False,Ozempic,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,125,691,5.53,23.5,54.6,18.5,26.9,7.0,True,False,Tier 2 Preferred,6.8,936,731.0,21.9,6.9,7.0,6.2,5.5,70,False,True,False,True,False,True
2024Q1,WI,Internal Medicine,Mid Volume (Decile 2-5),False,Jardiance,empagliflozin,Boehringer/Lilly,SGLT2i,Oral daily,51,270,5.29,6.2,66.6,26.2,7.3,10.5,True,False,Not Covered,8.9,624,439.0,29.6,6.4,7.7,7.0,5.6,67,True,True,False,True,False,False
2025Q1,IL,Internal Medicine,Non-Writer,False,Rybelsus,semaglutide oral,Novo Nordisk,GLP-1 RA,Oral daily,9,42,4.67,5.5,43.2,26.5,30.3,4.3,True,False,Tier 2 Preferred,6.5,812,499.0,38.6,7.0,8.0,5.3,5.4,65,True,True,False,True,False,False
2025Q1,FL,Endocrinology,Mid Volume (Decile 2-5),True,Trulicity,dulaglutide,Eli Lilly,GLP-1 RA,SC weekly,21,129,6.14,7.1,55.4,36.4,8.2,3.4,True,False,Specialty,4.4,743,585.0,21.2,6.3,7.5,9.0,5.4,-10,True,True,True,True,False,False
2024Q1,VA,Cardiology,Low Volume (Decile 6-10),False,Zepbound,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,17,91,5.35,15.3,59.0,36.5,4.5,6.3,True,True,Tier 2 Preferred,6.1,1059,800.0,24.5,7.7,6.9,6.9,5.8,-9,True,True,False,True,True,False
2024Q3,MO,Primary Care,Low Volume (Decile 6-10),False,Bydureon,exenatide ER,AstraZeneca,GLP-1 RA,SC weekly,9,39,4.33,4.2,47.5,22.2,30.3,4.3,True,True,Tier 3 Non-Pref,7.6,492,367.0,25.4,8.7,6.9,8.6,5.7,28,False,False,True,True,False,False
2025Q1,PA,Primary Care,Mid Volume (Decile 2-5),False,Mounjaro,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,118,643,5.45,18.0,47.2,34.9,17.9,2.6,False,False,Tier 3 Non-Pref,9.1,1023,703.0,31.3,7.5,6.8,7.9,4.6,-1,True,True,True,True,False,True
2024Q4,WA,Primary Care,High Volume (Top Decile),False,Zepbound,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,57,209,3.67,12.0,52.8,18.9,28.3,2.5,True,False,Not Covered,5.4,1059,821.0,22.5,7.1,8.3,7.7,5.4,21,False,False,False,True,True,False
2024Q2,AZ,Internal Medicine,High Volume (Top Decile),False,Ozempic,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,153,628,4.1,22.7,43.8,28.7,27.5,10.0,True,True,Tier 3 Non-Pref,4.8,936,720.0,23.1,7.1,5.6,9.0,5.2,-17,False,True,True,True,False,True
2025Q1,NC,Primary Care,Low Volume (Decile 6-10),False,Zepbound,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,77,369,4.79,12.5,61.6,24.5,13.9,7.0,True,True,Tier 2 Preferred,3.6,1059,650.0,38.6,7.7,6.5,8.6,7.0,33,True,False,False,True,True,False
2024Q3,PA,Endocrinology,Low Volume (Decile 6-10),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,73,310,4.25,14.8,47.5,26.3,26.2,10.7,True,False,Tier 2 Preferred,7.4,1349,1051.0,22.1,6.5,7.4,8.2,7.4,19,True,False,False,True,True,False
2024Q1,VA,Endocrinology,Low Volume (Decile 6-10),True,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,59,342,5.8,17.5,57.5,18.2,24.3,9.8,False,True,Tier 2 Preferred,3.8,1349,893.0,33.8,6.8,7.7,7.0,5.3,63,True,True,True,True,True,False
2025Q1,NY,Primary Care,Low Volume (Decile 6-10),False,Mounjaro,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,96,269,2.8,20.4,68.6,30.6,0.9,2.2,False,False,Not Covered,9.3,1023,622.0,39.2,6.6,6.8,6.9,8.6,75,False,False,False,True,False,True
2024Q4,WI,Primary Care,Low Volume (Decile 6-10),False,Mounjaro,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,76,241,3.17,18.3,51.5,40.7,7.8,11.6,True,False,Tier 2 Preferred,9.3,1023,677.0,33.8,8.7,7.0,7.2,6.5,-2,True,False,False,True,False,True
2024Q3,FL,Cardiology,Non-Writer,False,Jardiance,empagliflozin,Boehringer/Lilly,SGLT2i,Oral daily,77,386,5.01,6.7,43.3,37.1,19.6,9.3,True,False,Tier 2 Preferred,6.0,624,416.0,33.3,7.3,7.7,6.2,5.5,36,False,False,False,True,False,False
2024Q1,OH,Primary Care,Low Volume (Decile 6-10),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,44,253,5.75,15.3,65.3,35.4,0.0,4.7,True,True,Tier 3 Non-Pref,7.6,1349,1015.0,24.7,7.2,8.1,9.3,6.6,15,False,True,False,True,True,False
2024Q2,AZ,Endocrinology,Low Volume (Decile 6-10),False,Jardiance,empagliflozin,Boehringer/Lilly,SGLT2i,Oral daily,93,334,3.59,8.6,41.2,37.5,21.3,7.4,True,False,Not Covered,5.7,624,435.0,30.3,6.8,6.2,5.6,5.9,29,True,False,True,True,False,False
2024Q2,VA,Primary Care,Mid Volume (Decile 2-5),False,Victoza,liraglutide,Novo Nordisk,GLP-1 RA,SC daily,6,18,3.0,5.5,61.2,23.0,15.8,4.0,True,True,Specialty,8.3,686,468.0,31.7,7.3,6.8,6.7,2.3,-12,True,False,False,True,False,False
2024Q1,WA,Primary Care,Mid Volume (Decile 2-5),False,Zepbound,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,64,199,3.11,12.0,47.2,27.7,25.1,3.7,True,True,Specialty,3.6,1059,708.0,33.1,9.7,7.5,8.6,8.5,59,False,False,False,True,True,False
2024Q2,MO,Endocrinology,Mid Volume (Decile 2-5),False,Trulicity,dulaglutide,Eli Lilly,GLP-1 RA,SC weekly,50,250,5.0,7.7,63.6,19.5,16.9,9.2,True,False,Tier 2 Preferred,8.0,743,553.0,25.6,7.9,5.8,8.6,7.7,17,False,False,True,True,False,False
2024Q2,NC,Internal Medicine,Low Volume (Decile 6-10),False,Bydureon,exenatide ER,AstraZeneca,GLP-1 RA,SC weekly,16,53,3.31,4.5,40.0,38.7,21.2,9.7,True,True,Not Covered,5.4,492,390.0,20.7,7.4,5.5,8.0,5.2,26,False,False,False,True,False,False
2024Q1,MI,Primary Care,Low Volume (Decile 6-10),False,Rybelsus,semaglutide oral,Novo Nordisk,GLP-1 RA,Oral daily,9,36,4.0,4.4,61.7,40.8,0.0,3.2,True,False,Tier 2 Preferred,6.1,812,626.0,22.9,7.0,8.3,7.6,7.3,8,True,False,True,True,False,False
2024Q2,MO,Endocrinology,Non-Writer,False,Trulicity,dulaglutide,Eli Lilly,GLP-1 RA,SC weekly,41,163,3.98,8.3,67.9,22.2,9.9,10.8,False,False,Tier 2 Preferred,7.3,743,548.0,26.2,8.0,6.5,8.9,6.0,-12,True,True,False,True,False,False
2024Q1,AZ,Primary Care,Low Volume (Decile 6-10),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,92,523,5.68,15.1,72.0,27.6,0.4,11.5,True,False,Not Covered,5.2,1349,947.0,29.8,9.8,7.7,7.0,9.2,40,True,False,False,True,True,False
2024Q1,TN,Primary Care,Low Volume (Decile 6-10),False,Wegovy,semaglutide,Novo Nordisk,GLP-1 RA,SC weekly,80,258,3.23,16.2,45.9,33.0,21.0,6.6,True,True,Tier 3 Non-Pref,7.1,1349,871.0,35.4,6.6,9.8,9.4,4.1,-3,False,True,False,True,True,False
2024Q1,NJ,Endocrinology,Mid Volume (Decile 2-5),False,Victoza,liraglutide,Novo Nordisk,GLP-1 RA,SC daily,15,62,4.13,7.0,53.5,38.2,8.3,8.6,True,True,Tier 2 Preferred,4.5,686,497.0,27.6,6.4,6.2,7.1,3.6,31,True,True,False,True,False,False
2024Q3,IL,Endocrinology,Mid Volume (Decile 2-5),False,Trulicity,dulaglutide,Eli Lilly,GLP-1 RA,SC weekly,22,125,5.68,4.2,46.7,28.9,24.4,2.3,True,False,Tier 2 Preferred,6.4,743,578.0,22.2,7.5,6.6,7.5,6.5,-17,True,False,True,True,False,False
2024Q4,MO,Internal Medicine,High Volume (Top Decile),False,Mounjaro,tirzepatide,Eli Lilly,GLP-1/GIP,SC weekly,66,301,4.56,18.6,52.3,35.2,12.6,7.3,True,False,Tier 3 Non-Pref,9.4,1023,647.0,36.7,8.7,6.5,6.8,5.3,78,True,True,False,True,False,True
2025Q1,TN,Endocrinology,Low Volume (Decile 6-10),True,Bydureon,exenatide ER,AstraZeneca,GLP-1 RA,SC weekly,11,36,3.27,3.5,52.4,34.9,12.7,9.9,False,True,Not Covered,7.3,492,319.0,35.2,7.0,8.6,6.8,6.5,41,False,False,True,True,False,False
2025Q1,MA,Primary Care,Non-Writer,False,Trulicity,dulaglutide,Eli Lilly,GLP-1 RA,SC weekly,28,136,4.86,6.8,52.6,27.2,20.2,5.7,False,True,Not Covered,7.1,743,507.0,31.8,6.1,8.2,6.5,6.8,8,True,False,True,True,False,False
